Latitude,Longitude
21.0398833,105.827164
21.0552675,105.839209
21.076585,105.8148183
21.051391,105.839487
21.041809,105.8352694
21.0458559,105.8132006
21.0787166,105.81856
21.0681431,105.8255438
21.0545642,105.8361484
21.0435284,105.8196104
21.0514676,105.7929903
21.0635824,105.8316778
21.0431521,105.8220466
21.0445326,105.8129847
21.040894,105.827731
21.0722055,105.8068888
21.0511309,105.840655
21.0539773,105.8106837
21.0668871,105.8020345
21.0677659,105.8260538
21.0879018,105.8145541
20.99352,105.8316225
20.9968738,105.8218045
20.998227,105.821623
20.9919319,105.8059489
20.99025,105.817569
21.0041076,105.8067526
20.98258,105.8167033
20.984262,105.818504
21.0066857,105.8126327
20.996905,105.8427279
20.9932411,105.8015575
20.9995764,105.7963502
20.9925281,105.8134928
20.9988564,105.8029347
20.9961766,105.8384615
21.00615,105.8133164
21.0029435,105.8117743
20.9848418,105.816904
21.0010798,105.8103354
20.9932066,105.8364899
20.998957,105.8119449
20.9923852,105.8136426
20.9898288,105.8141464
20.9867879,105.8131694
20.9866337,105.7978144
20.9896796,105.8332664
20.9906747,105.8388916
20.9889587,105.8011454
20.9979634,105.8261287
21.0022678,105.8093427
20.9963897,105.8268318
21.0030832,105.815442
20.9972403,105.8235807
20.9984885,105.8201985
21.052003,105.7306637
21.0297319,105.7705587
20.9896465,105.7856901
21.0314445,105.7744842
20.9891995,105.7857474
20.9919343,105.7936851
20.9963641,105.7930296
21.0279571,105.771796
21.0017928,105.7507416
21.0497818,105.7286959
20.9741223,105.7691078
21.0304633,105.7759595
21.0187645,105.7769248
21.0031394,105.7919387
21.0221606,105.771796
21.0713471,105.7932944
21.0484938,105.7693382
21.0837558,105.7836724
21.0514003,105.7924646
21.0892556,105.7901382
21.070014,105.7941508
21.0481171,105.7469546
21.0568328,105.781414
21.0479537,105.745557
21.0404893,105.7777411
21.0506257,105.7502233
21.0512434,105.747163
21.0727908,105.797704
21.0402859,105.767088
21.0727818,105.8024247
21.0833035,105.7688614
21.0639662,105.7799695
21.0701101,105.7912306
21.0865268,105.7822278
21.048936,105.841036
21.0347206,105.8271548
21.0415902,105.8399122
21.0407998,105.8129101
21.037664,105.8085686
21.0333985,105.817187
21.040892,105.8490093
21.0436092,105.8448896
21.0414322,105.8112115
21.0315307,105.8325837
21.0444861,105.8084708
21.0460677,105.8462736
21.0237555,105.8171405
21.0271642,105.8225908
21.0251385,105.8227238
21.0486871,105.8449944
21.0373032,105.8309626
21.0378668,105.8080123
21.0304473,105.824861
21.0360361,105.8104245
21.0272409,105.8145485
21.0400293,105.8449704
21.0427522,105.808253
21.0412286,105.8462804
21.0022933,105.8345346
21.0165329,105.805732
21.002601,105.8297967
21.0193059,105.8351354
21.0200518,105.8282397
21.0198406,105.8213076
21.0252216,105.7986565
21.0168288,105.8112865
21.0104952,105.8309238
21.0136536,105.8222912
21.0225393,105.8353107
21.0159499,105.8197992
21.012307,105.816945
21.0197276,105.8344435
21.0274691,105.8387929
21.0264138,105.8327557
21.0049958,105.8258012
21.0268443,105.8013623
21.0044455,105.8391977
21.000125,105.841525
21.0252187,105.8361508
21.0187033,105.8357495
21.0156452,105.8280662
21.0062224,105.8358955
21.0111212,105.8378198
21.0193758,105.8057535
21.0234688,105.8094797
21.0192605,105.8117566
21.0127603,105.8323499
21.014358,105.8102652
21.0293688,105.8351715
21.0171696,105.838192
21.0310366,105.829477
21.0105243,105.7969024
21.029543,105.79186
21.0318312,105.8012674
21.0468243,105.8036324
21.0363632,105.7866899
21.0409337,105.7785855
21.0352454,105.7849793
21.040797,105.7756071
21.0356606,105.7961709
21.0110693,105.8019549
21.0416251,105.787701
21.0363377,105.792277
21.0568109,105.7949273
21.0091213,105.7948447
21.0318515,105.8038186
21.0336944,105.7987086
21.0074184,105.8255501
21.0410802,105.7978736
21.027367,105.7984558
21.0450559,105.7766881
21.0415329,105.794327
21.0170417,105.7993846
21.0347067,105.7923394
21.0128845,105.8036553
21.0367702,105.8011445
21.0423745,105.7867367
21.0265347,105.7987796
21.0391136,105.8021508
21.0349893,105.7938017
21.0433196,105.7994556
21.0457323,105.7953317
21.0188787,105.7930686
21.0409067,105.7792542
20.9874811,105.8585823
20.988153,105.859962
20.9868287,105.8312314
20.9812328,105.8437121
20.9822024,105.8168928
20.9872561,105.8498486
20.9834774,105.8665719
20.9885451,105.8568256
20.9784461,105.8427073
20.9627441,105.8260026
20.96705,105.8703679
20.9876156,105.8577451
20.9629737,105.8226958
20.9914297,105.8445979
20.9875848,105.8646128
20.994941,105.8906859
20.9801686,105.8506204
20.9743944,105.8246947
20.9792367,105.8156714
20.9825137,105.8816702
20.9717255,105.849528
20.9856621,105.8617655
20.9860548,105.8778736
20.9711174,105.8335134
20.9738085,105.8933586
20.9710885,105.8444419
20.9829788,105.8349562
20.9846035,105.8232334
20.9694102,105.8425323
20.9885702,105.8510475
20.9776824,105.8495131
20.9812164,105.845372
20.9883289,105.8665026
20.9832981,105.8763536
20.9723858,105.8681531
20.9938202,105.830587
20.9940189,105.8878121
20.9792056,105.8205412
20.9611143,105.8424465
20.9855658,105.8889921
20.9832261,105.8210099
20.988802,105.8512473
20.9859011,105.8760171
20.9772676,105.8359708
20.9808756,105.8175831
20.9858976,105.8580591
20.9794408,105.8340638
20.9854344,105.857889
20.9889599,105.8298364
21.0161916,105.8576533
21.0056197,105.8510874
20.9983934,105.8521678
20.9938796,105.8573398
21.0145353,105.8510678
20.995806,105.861092
21.0005284,105.8506534
21.0029847,105.8657062
21.0031451,105.863833
21.0079088,105.8506417
21.0117162,105.8541791
20.998911,105.855531
21.0131938,105.8621605
21.003158,105.868858
20.9973556,105.8580254
20.9990127,105.8622754
21.0005319,105.8454571
21.0033704,105.8682962
21.0236892,105.8354389
21.0011622,105.8678906
20.9992609,105.8732398
21.0188513,105.8637182
21.0120988,105.8604719
21.000919,105.850656
21.0109385,105.8598757
21.018712,105.8426873
20.9966967,105.8426982
20.9937815,105.8466875
20.9986731,105.8421547
21.0089263,105.8475378
20.9917364,105.849069
21.0155166,105.8485319
20.9981624,105.8623923
20.9984239,105.8602853
20.9952768,105.854344
21.0186086,105.8567903
21.0003948,105.8506899
21.0011948,105.8543275
21.0017915,105.8437857
20.9941419,105.8685185
21.002451,105.859665
20.9958547,105.8687134
20.9955988,105.8688211
21.0038282,105.8661158
21.0642034,105.8001734
21.0465173,105.7831
21.046933,105.7633364
21.0510445,105.7821114
21.0742296,105.7735166
21.0670929,105.7979346
20.986066,105.7986136
20.9831371,105.8319653
20.9922054,105.816802
21.0029226,105.8020914
21.0003557,105.8213606
21.0023135,105.8091356
21.0062007,105.8018002
20.996892,105.803578
20.9943935,105.8067051
20.9985179,105.8004451
21.0060599,105.8065102
20.9986084,105.8202808
21.0000244,105.8079663
20.9976745,105.8413497
20.9997704,105.8277226
21.0076779,105.7379809
21.0360385,105.7607592
21.029133,105.761301
21.0356498,105.7638865
20.9907464,105.796203
21.0141712,105.7758312
21.0290557,105.7760852
21.0446329,105.8143184
21.0674149,105.8040381
21.0630232,105.807095
21.0681564,105.8250113
21.0471056,105.8093766
21.0624914,105.827585
21.0588632,105.8257508
21.0416286,105.8161372
21.0336381,105.8065777
21.0456113,105.8432097
21.0341714,105.8125096
21.0337709,105.8173683
21.033595,105.8098873
21.0346834,105.8269436
21.0375314,105.8103673
21.0496318,105.8391425
21.0353045,105.8144724
21.030116,105.822275
21.0371162,105.815101
21.0420454,105.8471325
21.0371026,105.7737096
21.0412775,105.7822509
21.014711,105.8018209
21.0076206,105.8025296
21.0097454,105.805729
21.0478734,105.7946819
21.0061085,105.8007177
21.0414798,105.7883613
21.0313684,105.7831221
21.0555646,105.8086075
21.042561,105.775175
21.0379746,105.7908261
21.0421119,105.78605
21.0418161,105.7821212
21.0072376,105.8117886
21.0471845,105.7954722
21.0273922,105.7984795
21.0364029,105.7837198
21.0128439,105.8068123
21.0368301,105.7792836
21.0156167,105.8007117
21.0140432,105.7886708
21.0154318,105.8091473
21.0103188,105.8230786
21.0234419,105.8323299
21.0151008,105.8243572
21.004374,105.831027
21.0191403,105.8312658
21.001708,105.829441
21.0194068,105.80244
21.0127142,105.8326648
21.0189548,105.8375806
21.0355614,105.8039521
21.0225966,105.8263351
21.0230565,105.8076453
21.0228949,105.8222371
21.0186298,105.8229295
21.0110148,105.830595
21.0232494,105.8048936
21.023347,105.8061981
21.0144633,105.8143614
21.0102244,105.8506576
21.003112,105.8624236
21.0026629,105.8507951
20.9912098,105.8483983
20.9953162,105.862014
20.9999129,105.8525728
20.9969683,105.8736908
21.010473,105.860179
21.0082663,105.8656879
20.998848,105.8670966
21.0008734,105.8590329
21.0119554,105.8652486
21.0154738,105.8474265
20.9990116,105.861635
21.0134239,105.8579048
21.003125,105.8668833
21.0028132,105.8449417
21.0161859,105.8579515
21.0133882,105.8558293
21.0014999,105.8479806
20.992338,105.869478
20.9925703,105.8631469
20.992286,105.8687174
20.9861069,105.8585134
20.9888216,105.869604
20.9838824,105.843807
20.9729213,105.8205122
